date,date_label,region_code,domaine_code,code_indicateur,valeur,unite,source_code,version_serie,fiabilite,qualite_flag,fichier_source,date_insertion
2023-01-01,2023-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,14.6,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2020-01-01,2020-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,16.0,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2021-01-01,2021-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,17.1,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2022-01-01,2022-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,14.7,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2023-01-01,2023-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,16.7,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2020-01-01,2020-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,19.4,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2021-01-01,2021-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,22.0,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2022-01-01,2022-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,22.1,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2023-01-01,2023-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,22.8,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2020-01-01,2020-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,22.4,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2021-01-01,2021-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,24.5,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2022-01-01,2022-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,24.9,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
